jobId,companyId,jobType,degree,major,industry,yearsExperience,milesFromMetropolis
JOB1362684407687,COMP37,CFO,MASTERS,MATH,HEALTH,10,83
JOB1362684407688,COMP19,CEO,HIGH_SCHOOL,NONE,WEB,3,73
JOB1362684407689,COMP52,VICE_PRESIDENT,DOCTORAL,PHYSICS,HEALTH,10,38
JOB1362684407690,COMP38,MANAGER,DOCTORAL,CHEMISTRY,AUTO,8,17
JOB1362684407691,COMP7,VICE_PRESIDENT,BACHELORS,PHYSICS,FINANCE,8,16
JOB1362684407692,COMP15,MANAGER,DOCTORAL,COMPSCI,FINANCE,2,31
JOB1362684407693,COMP15,CFO,NONE,NONE,HEALTH,23,24
JOB1362684407694,COMP24,JUNIOR,BACHELORS,CHEMISTRY,EDUCATION,9,70
JOB1362684407695,COMP20,JANITOR,HIGH_SCHOOL,NONE,EDUCATION,1,54
JOB1362684407696,COMP41,VICE_PRESIDENT,BACHELORS,CHEMISTRY,AUTO,17,68
JOB1362684407697,COMP56,JANITOR,HIGH_SCHOOL,NONE,HEALTH,24,30
JOB1362684407698,COMP7,CEO,MASTERS,PHYSICS,EDUCATION,7,79
JOB1362684407699,COMP4,JUNIOR,NONE,NONE,OIL,8,29
JOB1362684407700,COMP54,JUNIOR,MASTERS,MATH,FINANCE,21,26
JOB1362684407701,COMP57,JANITOR,NONE,NONE,AUTO,21,81
JOB1362684407702,COMP20,CTO,MASTERS,BIOLOGY,SERVICE,13,8
JOB1362684407703,COMP14,JUNIOR,MASTERS,PHYSICS,SERVICE,1,91
JOB1362684407704,COMP61,VICE_PRESIDENT,MASTERS,LITERATURE,SERVICE,23,43
JOB1362684407705,COMP58,CEO,MASTERS,LITERATURE,SERVICE,23,66
JOB1362684407706,COMP3,CEO,MASTERS,PHYSICS,EDUCATION,9,99
JOB1362684407707,COMP44,JANITOR,NONE,NONE,SERVICE,11,96
JOB1362684407708,COMP20,JUNIOR,NONE,NONE,AUTO,14,62
JOB1362684407709,COMP30,JUNIOR,BACHELORS,LITERATURE,HEALTH,18,69
JOB1362684407710,COMP38,JUNIOR,NONE,NONE,HEALTH,20,63
JOB1362684407711,COMP20,CEO,BACHELORS,NONE,WEB,12,8
JOB1362684407712,COMP27,CFO,BACHELORS,CHEMISTRY,AUTO,9,70
JOB1362684407713,COMP38,CEO,BACHELORS,COMPSCI,AUTO,24,40
JOB1362684407714,COMP34,CTO,MASTERS,BUSINESS,AUTO,9,6
JOB1362684407715,COMP11,JANITOR,HIGH_SCHOOL,NONE,FINANCE,20,23
JOB1362684407716,COMP31,SENIOR,DOCTORAL,BUSINESS,EDUCATION,1,9
JOB1362684407717,COMP49,JUNIOR,BACHELORS,PHYSICS,HEALTH,23,2
JOB1362684407718,COMP0,CFO,BACHELORS,PHYSICS,HEALTH,18,32
JOB1362684407719,COMP1,CEO,MASTERS,NONE,OIL,7,91
JOB1362684407720,COMP36,JUNIOR,MASTERS,MATH,HEALTH,12,78
JOB1362684407721,COMP31,MANAGER,DOCTORAL,NONE,HEALTH,15,14
JOB1362684407722,COMP47,MANAGER,NONE,NONE,HEALTH,18,58
JOB1362684407723,COMP30,MANAGER,DOCTORAL,ENGINEERING,WEB,22,14
JOB1362684407724,COMP8,VICE_PRESIDENT,DOCTORAL,BUSINESS,HEALTH,24,35
JOB1362684407725,COMP31,VICE_PRESIDENT,HIGH_SCHOOL,NONE,OIL,8,6
JOB1362684407726,COMP42,VICE_PRESIDENT,BACHELORS,BIOLOGY,EDUCATION,7,17
JOB1362684407727,COMP7,VICE_PRESIDENT,MASTERS,NONE,HEALTH,8,54
JOB1362684407728,COMP8,CEO,MASTERS,LITERATURE,AUTO,20,93
JOB1362684407729,COMP50,MANAGER,MASTERS,LITERATURE,WEB,8,82
JOB1362684407730,COMP11,CEO,NONE,NONE,FINANCE,2,38
JOB1362684407731,COMP34,CEO,HIGH_SCHOOL,NONE,AUTO,11,87
JOB1362684407732,COMP42,VICE_PRESIDENT,MASTERS,LITERATURE,OIL,0,76
JOB1362684407733,COMP53,MANAGER,DOCTORAL,NONE,AUTO,19,22
JOB1362684407734,COMP48,CEO,NONE,NONE,WEB,21,63
JOB1362684407735,COMP45,CEO,DOCTORAL,CHEMISTRY,OIL,8,44
JOB1362684407736,COMP30,SENIOR,HIGH_SCHOOL,NONE,OIL,15,91
JOB1362684407737,COMP46,JUNIOR,BACHELORS,BUSINESS,WEB,8,81
JOB1362684407738,COMP2,CEO,NONE,NONE,SERVICE,22,93
JOB1362684407739,COMP5,JUNIOR,MASTERS,BIOLOGY,FINANCE,11,72
JOB1362684407740,COMP55,MANAGER,DOCTORAL,ENGINEERING,WEB,24,58
JOB1362684407741,COMP44,JANITOR,HIGH_SCHOOL,NONE,AUTO,9,4
JOB1362684407742,COMP30,JUNIOR,BACHELORS,ENGINEERING,HEALTH,5,63
JOB1362684407743,COMP29,MANAGER,HIGH_SCHOOL,NONE,HEALTH,15,14
JOB1362684407744,COMP7,CFO,BACHELORS,COMPSCI,EDUCATION,15,25
JOB1362684407745,COMP20,CEO,NONE,NONE,FINANCE,9,36
JOB1362684407746,COMP11,VICE_PRESIDENT,MASTERS,LITERATURE,SERVICE,10,5
JOB1362684407747,COMP45,CTO,NONE,NONE,WEB,19,36
JOB1362684407748,COMP2,JUNIOR,HIGH_SCHOOL,NONE,HEALTH,13,93
JOB1362684407749,COMP4,CEO,MASTERS,MATH,WEB,22,71
JOB1362684407750,COMP40,JUNIOR,HIGH_SCHOOL,NONE,FINANCE,2,65
JOB1362684407751,COMP4,JUNIOR,NONE,NONE,FINANCE,1,53
JOB1362684407752,COMP33,VICE_PRESIDENT,NONE,NONE,EDUCATION,1,36
JOB1362684407753,COMP15,CTO,HIGH_SCHOOL,NONE,WEB,1,13
JOB1362684407754,COMP50,SENIOR,NONE,NONE,FINANCE,17,22
JOB1362684407755,COMP22,CFO,DOCTORAL,COMPSCI,FINANCE,11,33
JOB1362684407756,COMP41,CTO,HIGH_SCHOOL,NONE,EDUCATION,19,55
JOB1362684407757,COMP46,JANITOR,HIGH_SCHOOL,NONE,AUTO,23,17
JOB1362684407758,COMP12,JUNIOR,NONE,NONE,AUTO,21,61
JOB1362684407759,COMP31,CTO,HIGH_SCHOOL,NONE,HEALTH,8,76
JOB1362684407760,COMP25,SENIOR,DOCTORAL,LITERATURE,WEB,3,66
JOB1362684407761,COMP42,CFO,BACHELORS,BIOLOGY,OIL,4,55
JOB1362684407762,COMP54,CTO,MASTERS,NONE,AUTO,17,99
JOB1362684407763,COMP1,JUNIOR,DOCTORAL,BIOLOGY,OIL,13,2
JOB1362684407764,COMP6,JUNIOR,NONE,NONE,OIL,19,98
JOB1362684407765,COMP40,CTO,NONE,NONE,OIL,17,72
JOB1362684407766,COMP57,CFO,MASTERS,CHEMISTRY,OIL,18,62
JOB1362684407767,COMP23,MANAGER,BACHELORS,COMPSCI,WEB,5,33
JOB1362684407768,COMP11,JANITOR,NONE,NONE,SERVICE,15,59
JOB1362684407769,COMP11,CEO,DOCTORAL,MATH,WEB,10,73
JOB1362684407770,COMP17,MANAGER,NONE,NONE,SERVICE,8,15
JOB1362684407771,COMP55,CFO,HIGH_SCHOOL,NONE,OIL,5,75
JOB1362684407772,COMP23,MANAGER,MASTERS,BIOLOGY,SERVICE,0,93
JOB1362684407773,COMP14,CEO,HIGH_SCHOOL,NONE,SERVICE,2,56
JOB1362684407774,COMP44,JUNIOR,DOCTORAL,CHEMISTRY,WEB,19,35
JOB1362684407775,COMP12,MANAGER,NONE,NONE,OIL,16,43
JOB1362684407776,COMP46,VICE_PRESIDENT,BACHELORS,BUSINESS,EDUCATION,4,40
JOB1362684407777,COMP15,CTO,DOCTORAL,NONE,EDUCATION,6,11
JOB1362684407778,COMP5,VICE_PRESIDENT,NONE,NONE,OIL,11,32
JOB1362684407779,COMP15,JUNIOR,MASTERS,CHEMISTRY,EDUCATION,16,87
JOB1362684407780,COMP22,MANAGER,BACHELORS,NONE,EDUCATION,6,12
JOB1362684407781,COMP1,JUNIOR,BACHELORS,BUSINESS,WEB,10,34
JOB1362684407782,COMP28,SENIOR,NONE,NONE,FINANCE,9,21
JOB1362684407783,COMP21,CEO,HIGH_SCHOOL,NONE,SERVICE,10,5
JOB1362684407784,COMP55,SENIOR,DOCTORAL,BUSINESS,OIL,7,6
