jobId,salary
JOB1362684407687,130
JOB1362684407688,101
JOB1362684407689,137
JOB1362684407690,142
JOB1362684407691,163
JOB1362684407692,113
JOB1362684407693,178
JOB1362684407694,73
JOB1362684407695,31
JOB1362684407696,104
JOB1362684407697,102
JOB1362684407698,144
JOB1362684407699,79
JOB1362684407700,193
JOB1362684407701,47
JOB1362684407702,172
JOB1362684407703,47
JOB1362684407704,126
JOB1362684407705,122
JOB1362684407706,95
JOB1362684407707,32
JOB1362684407708,68
JOB1362684407709,105
JOB1362684407710,76
JOB1362684407711,202
JOB1362684407712,131
JOB1362684407713,158
JOB1362684407714,130
JOB1362684407715,101
JOB1362684407716,82
JOB1362684407717,159
JOB1362684407718,132
JOB1362684407719,165
JOB1362684407720,100
JOB1362684407721,164
JOB1362684407722,115
JOB1362684407723,206
JOB1362684407724,183
JOB1362684407725,114
JOB1362684407726,104
JOB1362684407727,141
JOB1362684407728,119
JOB1362684407729,91
JOB1362684407730,106
JOB1362684407731,119
JOB1362684407732,112
JOB1362684407733,116
JOB1362684407734,148
JOB1362684407735,173
JOB1362684407736,113
JOB1362684407737,70
JOB1362684407738,105
JOB1362684407739,88
JOB1362684407740,193
JOB1362684407741,91
JOB1362684407742,96
JOB1362684407743,118
JOB1362684407744,140
JOB1362684407745,161
JOB1362684407746,106
JOB1362684407747,111
JOB1362684407748,55
JOB1362684407749,217
JOB1362684407750,62
JOB1362684407751,86
JOB1362684407752,80
JOB1362684407753,96
JOB1362684407754,122
JOB1362684407755,168
JOB1362684407756,133
JOB1362684407757,118
JOB1362684407758,105
JOB1362684407759,129
JOB1362684407760,89
JOB1362684407761,135
JOB1362684407762,94
JOB1362684407763,169
JOB1362684407764,90
JOB1362684407765,110
JOB1362684407766,179
JOB1362684407767,106
JOB1362684407768,70
JOB1362684407769,176
JOB1362684407770,111
JOB1362684407771,82
JOB1362684407772,84
JOB1362684407773,90
JOB1362684407774,162
JOB1362684407775,96
JOB1362684407776,107
JOB1362684407777,133
JOB1362684407778,131
JOB1362684407779,96
JOB1362684407780,112
JOB1362684407781,125
JOB1362684407782,106
JOB1362684407783,159
JOB1362684407784,144
JOB1362684407785,205
JOB1362684407786,72
JOB1362684407787,110
JOB1362684407788,127
JOB1362684407789,99
JOB1362684407790,145
JOB1362684407791,170
JOB1362684407792,180
JOB1362684407793,105
JOB1362684407794,100
JOB1362684407795,117
JOB1362684407796,110
JOB1362684407797,207
JOB1362684407798,122
JOB1362684407799,151
JOB1362684407800,151
JOB1362684407801,108
JOB1362684407802,99
JOB1362684407803,121
JOB1362684407804,166
JOB1362684407805,121
JOB1362684407806,49
JOB1362684407807,75
JOB1362684407808,105
JOB1362684407809,55
JOB1362684407810,80
JOB1362684407811,194
JOB1362684407812,52
JOB1362684407813,121
JOB1362684407814,112
JOB1362684407815,96
JOB1362684407816,154
JOB1362684407817,146
JOB1362684407818,171
JOB1362684407819,91
JOB1362684407820,104
JOB1362684407821,135
JOB1362684407822,68
JOB1362684407823,139
JOB1362684407824,122
JOB1362684407825,125
JOB1362684407826,91
JOB1362684407827,135
JOB1362684407828,140
JOB1362684407829,174
JOB1362684407830,141
JOB1362684407831,130
JOB1362684407832,57
JOB1362684407833,106
JOB1362684407834,127
JOB1362684407835,162
JOB1362684407836,78
JOB1362684407837,88
JOB1362684407838,158
JOB1362684407839,152
JOB1362684407840,144
JOB1362684407841,155
JOB1362684407842,65
JOB1362684407843,168
JOB1362684407844,119
JOB1362684407845,94
JOB1362684407846,123
JOB1362684407847,171
JOB1362684407848,48
JOB1362684407849,42
JOB1362684407850,107
JOB1362684407851,140
JOB1362684407852,50
JOB1362684407853,156
JOB1362684407854,178
JOB1362684407855,128
JOB1362684407856,106
JOB1362684407857,83
JOB1362684407858,89
JOB1362684407859,116
JOB1362684407860,69
JOB1362684407861,107
JOB1362684407862,123
JOB1362684407863,62
JOB1362684407864,110
JOB1362684407865,85
JOB1362684407866,176
JOB1362684407867,59
JOB1362684407868,159
JOB1362684407869,136
JOB1362684407870,156
JOB1362684407871,117
JOB1362684407872,93
JOB1362684407873,59
JOB1362684407874,154
JOB1362684407875,136
JOB1362684407876,80
JOB1362684407877,131
JOB1362684407878,93
JOB1362684407879,102
JOB1362684407880,121
JOB1362684407881,122
JOB1362684407882,67
JOB1362684407883,119
JOB1362684407884,93
JOB1362684407885,138
JOB1362684407886,135
JOB1362684407887,126
JOB1362684407888,107
JOB1362684407889,134
JOB1362684407890,146
JOB1362684407891,126
JOB1362684407892,97
JOB1362684407893,206
JOB1362684407894,78
JOB1362684407895,110
JOB1362684407896,168
JOB1362684407897,160
JOB1362684407898,86
JOB1362684407899,78
JOB1362684407900,195
JOB1362684407901,146
JOB1362684407902,55
JOB1362684407903,72
JOB1362684407904,100
JOB1362684407905,127
JOB1362684407906,76
JOB1362684407907,115
JOB1362684407908,131
JOB1362684407909,163
JOB1362684407910,202
JOB1362684407911,165
JOB1362684407912,108
JOB1362684407913,146
JOB1362684407914,63
JOB1362684407915,144
JOB1362684407916,80
JOB1362684407917,72
JOB1362684407918,170
JOB1362684407919,105
JOB1362684407920,153
JOB1362684407921,158
JOB1362684407922,74
JOB1362684407923,132
JOB1362684407924,180
JOB1362684407925,153
JOB1362684407926,89
JOB1362684407927,161
JOB1362684407928,160
JOB1362684407929,88
JOB1362684407930,108
JOB1362684407931,73
JOB1362684407932,100
JOB1362684407933,120
JOB1362684407934,108
JOB1362684407935,156
JOB1362684407936,152
JOB1362684407937,89
JOB1362684407938,187
JOB1362684407939,50
JOB1362684407940,104
JOB1362684407941,129
JOB1362684407942,122
JOB1362684407943,92
JOB1362684407944,152
JOB1362684407945,119
JOB1362684407946,100
JOB1362684407947,112
JOB1362684407948,95
JOB1362684407949,88
JOB1362684407950,123
JOB1362684407951,136
JOB1362684407952,131
JOB1362684407953,223
JOB1362684407954,51
JOB1362684407955,55
JOB1362684407956,132
JOB1362684407957,77
JOB1362684407958,103
JOB1362684407959,153
JOB1362684407960,165
JOB1362684407961,144
JOB1362684407962,139
JOB1362684407963,145
JOB1362684407964,155
JOB1362684407965,146
JOB1362684407966,80
JOB1362684407967,150
JOB1362684407968,45
JOB1362684407969,84
JOB1362684407970,105
JOB1362684407971,52
JOB1362684407972,94
JOB1362684407973,194
JOB1362684407974,137
JOB1362684407975,119
JOB1362684407976,118
JOB1362684407977,76
JOB1362684407978,137
JOB1362684407979,129
JOB1362684407980,101
JOB1362684407981,135
JOB1362684407982,161
JOB1362684407983,156
JOB1362684407984,136
JOB1362684407985,143
